step,phase,init_view,time,robot_x,robot_y,robot_yaw,n_detections,n_depth_rejected,yolo_raw,det_no_depth,det_off_class,chemicalConc,best_detection,best_sim,H_fused,trigger,peak_object,q_s_map
-1,Initialization,0.0,6.06,-3.5413976786816166,1.0975784465663811,78.5,0,0,0,0,0,445.0,,,,,,
-1,Initialization,1.0,10.69,-3.555058136962699,1.0789366583184898,150.3,1,0,2,0,1,452.0,,,,,,
-1,Initialization,2.0,15.26,-3.57419500841473,1.0192217969128725,-137.5,0,0,0,0,0,439.0,,,,,,
-1,Initialization,3.0,19.97,-3.5553252861628946,1.0292154559626552,-61.2,0,0,1,0,1,433.0,,,,,,
-1,Initialization,4.0,24.75,-3.5187065915828075,1.0287596496436988,10.3,1,0,1,0,0,409.0,,,,,,
-1,Initialization,5.0,29.36,-3.542523786598845,1.0729147647930493,83.4,0,0,0,0,0,408.0,,,,,,
0,search,,55.25,-3.563342547914625,1.0722405187205992,103.6,1,0,1,0,0,321.0,First aid box,0.047448933124542236,7.519,0.9517,Humidifier,100000.00000000001
1,search,,89.06,-2.8430093747021665,0.8501252098635292,5.1,2,0,2,0,0,490.0,Humidifier,0.5268794894218445,7.452,0.9432,empty floor,100000.00000000001
2,search,,118.06,-2.0501518910551004,0.8571437984360155,6.3,2,0,2,0,0,440.0,Humidifier,0.5268794894218445,7.313,0.9256,empty floor,100000.00000000001
3,search,,146.07,-1.624286197168178,0.9331578343688277,9.8,1,0,1,0,0,416.0,Humidifier,0.5268794894218445,7.127,0.902,empty floor,100000.00000000001
