x,y,dist_robot,olf_loglik,olf_post,vis_post,fused,vis_like,observed,mle_class,ev_Cardboard_box,post_Cardboard_box,ev_First_aid_box,post_First_aid_box,ev_Humidifier,post_Humidifier,ev_empty_floor,post_empty_floor
-4.5,0.75,0.259803,-2.23252,0.00508811,0.0312773,0.0387859,0.179758,False,Cardboard box,0,0.25,0,0.25,0,0.25,0,0.25
-4.25,1,0.235663,-2.37783,0.00481528,0.0312773,0.0377317,0.179758,False,Cardboard box,0,0.25,0,0.25,0,0.25,0,0.25
-2.5,1,1.9855,-0.498908,0.00601121,0.0111775,0.0150658,0.0642398,True,empty floor,0,0.0227273,0,0.0227273,1,0.113636,9,0.840909
-0.25,0.75,4.24341,-2.80952,0.000174798,0.0614761,0.01413,0.353319,True,Humidifier,0,0.125,0,0.125,1,0.625,0,0.125
-4.5,0,1.0095,-0.719299,0.00636337,0.00781932,0.0108437,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-4,0.25,0.901316,-0.807877,0.00636242,0.00781932,0.0108429,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-3.75,0,1.24892,-0.581318,0.00636032,0.00781932,0.0108412,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-4.5,0.25,0.759536,-0.957548,0.00636019,0.00781932,0.010841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-4.5,-0.25,1.25948,-0.576765,0.00635913,0.00781932,0.0108401,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-5,0.25,0.917289,-0.793558,0.00635676,0.00781932,0.0108381,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-5,0.5,0.724031,-1.00247,0.00634754,0.00781932,0.0108302,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-3.75,-0.25,1.45843,-0.511383,0.00634271,0.00781932,0.0108261,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-5,2,1.11626,-0.649007,0.00633791,0.00781932,0.010822,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-4.75,1.75,0.786426,-0.925705,0.00633355,0.00781932,0.0108183,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-5,2.25,1.34307,-0.544715,0.00632962,0.00781932,0.010815,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-3.5,-0.25,1.59914,-0.486455,0.00631112,0.00781932,0.0107991,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-4.5,0.5,0.509604,-1.36757,0.00630695,0.00781932,0.0107956,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-4.75,1.5,0.557373,-1.26879,0.00630217,0.00781932,0.0107915,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-5,1.25,0.568001,-1.24844,0.00629586,0.00781932,0.0107861,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-2.5,1.5,2.04519,-0.510944,0.00591449,0.00790664,0.010571,0.0454415,True,empty floor,0,0.05,1,0.25,0,0.05,3,0.65
-4.25,0,1.0365,-0.700043,0.00636385,0.00446818,0.00619666,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-4,0,1.12008,-0.646771,0.0063633,0.00446818,0.00619639,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-3.75,0.25,1.05717,-0.685999,0.00636311,0.00446818,0.0061963,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-3.5,0.75,1.01904,-0.712373,0.00636306,0.00446818,0.00619627,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-3.5,1.5,1.10084,-0.658222,0.00636275,0.00446818,0.00619612,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-4.75,0,1.04348,-0.695232,0.00636166,0.00446818,0.00619559,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-4.25,0.25,0.795067,-0.915846,0.00636107,0.00446818,0.00619531,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-3.5,0.25,1.24412,-0.583425,0.00636019,0.00446818,0.00619488,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-3.25,0.75,1.26241,-0.575522,0.00635927,0.00446818,0.00619443,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-4.75,0.25,0.80415,-0.905673,0.00635916,0.00446818,0.00619438,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-4.25,-0.25,1.28122,-0.567755,0.00635884,0.00446818,0.00619422,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-3.75,0.75,0.779878,-0.933294,0.00635852,0.00446818,0.00619406,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-5,0,1.13297,-0.639352,0.00635839,0.00446818,0.006194,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-4.75,-0.25,1.28688,-0.56549,0.00635645,0.00446818,0.00619306,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-4,-0.25,1.34973,-0.542456,0.00635479,0.00446818,0.00619225,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-4,0.5,0.703684,-1.02981,0.00635382,0.00446818,0.00619177,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-5,-0.25,1.36045,-0.538908,0.00634935,0.00446818,0.0061896,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-3.5,0,1.41069,-0.523707,0.00634878,0.00446818,0.00618932,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-4.75,2,1.02531,-0.707894,0.00634151,0.00446818,0.00618578,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-4.75,2.25,1.26849,-0.572972,0.00633818,0.00446818,0.00618415,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-4.75,0.5,0.573985,-1.23722,0.00633483,0.00446818,0.00618251,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-5,1.75,0.901792,-0.807443,0.00633278,0.00446818,0.00618151,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-3,0.75,1.50795,-0.500705,0.00633184,0.00446818,0.00618106,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-4.25,0.5,0.56119,-1.26142,0.00632806,0.00446818,0.00617921,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-5,1.5,0.710934,-1.01993,0.00631987,0.00446818,0.00617521,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-5,0.75,0.576214,-1.23309,0.0063189,0.00446818,0.00617473,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-3.25,0,1.59539,-0.486906,0.00631168,0.00446818,0.00617121,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-5,1,0.514611,-1.35661,0.00628267,0.00446818,0.00615701,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-3.25,-0.25,1.76422,-0.477702,0.00623561,0.00446818,0.00613391,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-2.75,0.75,1.75475,-0.477627,0.00623503,0.00446818,0.00613362,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-2.75,0.5,1.80869,-0.478977,0.00619989,0.00446818,0.00611631,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-4.75,0.75,0.370486,-1.74906,0.00608575,0.00446818,0.00605975,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-4.75,1.25,0.35758,-1.79444,0.00608041,0.00446818,0.00605709,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-3,-0.25,1.94749,-0.492635,0.00607463,0.00446818,0.00605421,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-2.5,0.75,2.00235,-0.502035,0.00599243,0.00446818,0.00601311,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-2.5,0.5,2.04978,-0.511979,0.00592667,0.00446818,0.00598003,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
