step,phase,init_view,time,robot_x,robot_y,robot_yaw,n_detections,n_depth_rejected,n_doa_samples,chemicalConc,best_detection,best_sim,H_fused,trigger,peak_object,q_s_map,L0_map,level_db
-1,Initialization,0.0,5.8,0.11086759387933792,3.1162908935968465,179.6,0,0,0,45.0,,,,,,,,
-1,Initialization,1.0,15.0,0.11813638332833484,3.1290385833232754,-117.9,1,0,0,23.0,,,,,,,,
-1,Initialization,2.0,23.86,0.274615945529711,3.249436154168041,-44.4,0,0,0,15.0,,,,,,,,
-1,Initialization,3.0,33.43,0.27540586924866073,3.2921579140456148,24.1,1,0,0,31.0,,,,,,,,
-1,Initialization,4.0,43.02,0.32585771461386126,3.274062467156472,87.6,0,0,0,40.0,,,,,,,,
-1,Initialization,5.0,51.46,0.3420083871324946,3.3313723444703003,158.7,0,0,0,21.0,,,,,,,,
0,search,,59.19,0.35719592666190914,3.31847792860977,161.1,0,0,0,41.0,,,8.101,0.9285,microwave,4999.999999999995,,
1,search,,78.06,-0.07809214050401458,2.9502369956528587,-107.0,0,0,0,27.0,,,8.05,0.9227,unobserved,4999.999999999995,,
2,search,,97.48,0.02352263821237177,2.7648265479821714,-29.4,1,0,0,30.0,refrigerator,0.19279877841472626,7.76,0.8895,unobserved,4999.999999999995,,
3,search,,113.3,0.1918932942079702,2.5410699774917305,-74.0,0,0,0,24.0,,,7.656,0.8775,unobserved,4999.999999999995,,
