step,phase,init_view,time,robot_x,robot_y,robot_yaw,n_detections,n_depth_rejected,yolo_raw,det_no_depth,det_off_class,n_doa_samples,chemicalConc,best_detection,best_sim,H_fused,trigger,peak_object,q_s_map,L0_map,level_db
-1,Initialization,0.0,8.24,-0.38673258581849235,3.140161630796478,44.3,1,0,2,0,1,0,1.0,,,,,,,,
-1,Initialization,1.0,19.82,-0.27983275384110917,3.111480513458216,109.8,0,0,2,0,1,0,5.0,,,,,,,,
-1,Initialization,2.0,31.16,-0.226481612836696,3.052805365852074,175.5,0,0,0,0,0,0,0.0,,,,,,,,
-1,Initialization,3.0,42.88,-0.21319995379389448,3.0351296084564443,-116.4,0,0,1,0,1,0,11.0,,,,,,,,
-1,Initialization,4.0,54.82,-0.21802827792278665,3.0065426687447534,-45.9,1,0,1,0,0,0,13.0,,,,,,,,
-1,Initialization,5.0,65.95,-0.21307646292194768,3.0248437353932554,21.8,1,0,3,0,1,0,0.0,,,,,,,,
0,search,,121.55,-0.1936360285692477,3.001213328454172,-2.6,2,0,3,0,1,0,10.0,oven,0.25873976945877075,8.609,0.9868,microwave,3162.2776601683804,,
1,search,,185.34,0.00993246065048542,2.860755129153505,-93.5,0,0,1,0,1,0,2.0,,,8.551,0.9801,empty floor,3162.2776601683804,,
2,search,,253.55,-0.17715841594078408,3.306092030005093,74.5,0,0,1,0,1,0,8.0,,,8.319,0.9536,empty floor,999.9999999999998,,
3,search,,317.64,0.23046775635543032,3.590353756723498,-7.3,1,0,3,0,2,0,0.0,oven,0.25873976945877075,8.277,0.9487,empty floor,999.9999999999998,,
