x,y,dist_robot,snd_loglik,snd_post,vis_post,fused,vis_like,observed,mle_class,ev_person,post_person,ev_chair,post_chair,ev_couch,post_couch,ev_toilet,post_toilet,ev_microwave,post_microwave,ev_oven,post_oven,ev_sink,post_sink,ev_refrigerator,post_refrigerator,ev_tv,post_tv,ev_empty_floor,post_empty_floor
-2.25,4.75,2.89414,-2.99185,0.02477,0.00934918,0.0419035,0.178291,False,person,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1
-1.75,5,2.33514,-2.9917,0.0243623,0.00934918,0.0415572,0.178291,False,person,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1
-1.25,5.25,1.77616,-2.99145,0.0235669,0.00934918,0.0408733,0.178291,False,person,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1
-2,6.25,2.33586,-2.99573,0.00164809,0.0100652,0.0116367,0.148644,True,person,1,0.366667,0,0.0333333,0,0.0333333,0,0.0333333,0,0.0333333,0,0.0333333,0,0.0333333,0,0.0333333,1,0.366667,0,0.0333333
-1.5,5.25,2.00162,-2.9944,0.0256736,0.0023373,0.0106653,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1,5.5,1.44337,-2.9948,0.025499,0.0023373,0.0106289,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2.25,5,2.78951,-2.99499,0.0248369,0.0023373,0.01049,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-0.5,5.75,0.886104,-2.99533,0.0247919,0.0023373,0.0104805,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.75,5.25,2.23231,-2.99523,0.0241275,0.0023373,0.0103391,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.25,5.5,1.67632,-2.99547,0.0226066,0.0023373,0.0100079,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-0.75,5.5,1.21721,-2.99093,0.0216325,0.0023373,0.00978995,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2,4.75,2.67382,-2.98687,0.0215603,0.0023373,0.00977361,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2,5.75,2.34959,-2.99573,0.00728043,0.00398772,0.00968986,0.0596504,True,empty floor,1,0.22,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,3,0.62
-1.5,5,2.11569,-2.98435,0.019616,0.0023373,0.00932252,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2.25,5.25,2.70401,-2.99562,0.018931,0.0023373,0.00915829,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.5,5.5,1.91358,-2.99564,0.0188828,0.0023373,0.00914662,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2.25,4.5,3.01591,-2.9798,0.0187586,0.0023373,0.0091165,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-0.75,5.75,1.12335,-2.99566,0.0187273,0.0023373,0.00910889,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.75,4.75,2.45918,-2.97345,0.0162678,0.0023373,0.0084897,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1,5.25,1.55821,-2.9784,0.015987,0.0023373,0.0084161,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-0.25,5.75,0.658366,-2.98922,0.0149883,0.0023373,0.008149,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2,4.5,2.80517,-2.95953,0.0138143,0.0023373,0.00782333,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.25,5,1.90379,-2.95847,0.0124731,0.0023373,0.00743386,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2.25,4.25,3.15284,-2.94362,0.0120559,0.0023373,0.0073085,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.5,4.75,2.25185,-2.93423,0.0103875,0.0023373,0.00678394,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2,6,2.32936,-2.99573,0.0033511,0.00398772,0.00657404,0.0596504,True,empty floor,1,0.22,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,3,0.62
-0.25,1.75,4.35297,-0.329114,0.000557115,0.00973371,0.00654282,0.211511,True,microwave,0,0.05,0,0.05,0,0.05,0,0.05,1,0.55,0,0.05,0,0.05,0,0.05,0,0.05,0,0.05
-2.25,6,2.57927,-2.99573,0.00327468,0.00392125,0.00639033,0.0651939,True,empty floor,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,1,0.22,3,0.62
-0.5,5.5,1.00243,-2.95534,0.00918109,0.0023373,0.00637786,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.75,4.5,2.60139,-2.90846,0.00908567,0.0023373,0.00634463,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2,4.25,2.95189,-2.8829,0.00822454,0.0023373,0.00603648,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2.25,4,3.30304,-2.85852,0.00762523,0.0023373,0.00581238,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-0.75,5.25,1.3514,-2.9063,0.00723353,0.0023373,0.00566113,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1,5,1.70226,-2.85781,0.00638005,0.0023373,0.00531667,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.25,4.75,2.05404,-2.81521,0.00593173,0.0023373,0.00512647,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.5,4.5,2.40635,-2.77912,0.0056664,0.0023373,0.0050105,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.75,4.25,2.75897,-2.74877,0.00549572,0.0023373,0.00493446,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2,4,3.11181,-2.72316,0.00537898,0.0023373,0.00488178,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2.25,3.75,3.46479,-2.7014,0.00529532,0.0023373,0.00484366,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
0,6,0.334713,-2.99572,0.016183,0.0013356,0.00483859,0.0254701,True,empty floor,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,6,0.871429
-1.75,5.5,2.15372,-2.99569,0.0159237,0.0013356,0.00479968,0.0254701,True,empty floor,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,6,0.871429
-1,5.75,1.36515,-2.99571,0.0140472,0.0013356,0.00450801,0.0254701,True,empty floor,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,6,0.871429
-2.25,3.5,3.63654,-2.47056,0.00418328,0.0023373,0.00430513,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2,3.75,3.28299,-2.47214,0.00411422,0.0023373,0.00426945,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.75,4,2.92944,-2.4741,0.00403018,0.0023373,0.00422562,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2.25,5.5,2.63951,-2.99572,0.0120588,0.0013356,0.00417678,0.0254701,True,empty floor,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,6,0.871429
-1.5,4.25,2.57589,-2.47659,0.0039257,0.0023373,0.00417048,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.25,4.5,2.22234,-2.47986,0.00379226,0.0023373,0.00409899,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2.25,3.25,3.81695,-2.19069,0.00369253,0.0023373,0.00404473,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.25,5.75,1.60947,-2.99572,0.0112364,0.0013356,0.00403184,0.0254701,True,empty floor,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,6,0.871429
-2.25,2,4.81326,-0.93325,0.00361693,0.0023373,0.00400311,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1,4.75,1.86879,-2.48435,0.00361589,0.0023373,0.00400254,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2,3.5,3.46377,-2.16097,0.00360446,0.0023373,0.00399621,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2.25,2.25,4.60411,-1.12849,0.00359717,0.0023373,0.00399216,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2.25,1.75,5.02615,-0.766966,0.00358858,0.0023373,0.00398739,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2,2.5,4.25751,-1.02108,0.00356682,0.0023373,0.00397529,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2,2.25,4.4689,-0.823987,0.00355923,0.0023373,0.00397105,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2.25,2.5,4.39922,-1.35496,0.0035457,0.0023373,0.0039635,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2,2.75,4.05052,-1.25519,0.0035225,0.0023373,0.00395051,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2.25,3,4.00485,-1.89587,0.00351688,0.0023373,0.00394736,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.75,3.75,3.11067,-2.12394,0.00350284,0.0023373,0.00393947,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2.25,2.75,4.19922,-1.61252,0.00349888,0.0023373,0.00393724,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2,2,4.6841,-0.659949,0.00349055,0.0023373,0.00393256,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2,3,3.84864,-1.52794,0.00346131,0.0023373,0.00391605,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.75,2.5,4.1261,-0.703612,0.00346121,0.0023373,0.00391599,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2,3.25,3.65272,-1.83515,0.00345149,0.0023373,0.00391049,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.5,3.25,3.35617,-1.00434,0.00344035,0.0023373,0.00390417,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.5,3,3.56841,-0.762735,0.00341666,0.0023373,0.00389071,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.5,4,2.75769,-2.07664,0.00338445,0.0023373,0.00387232,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.75,3.5,3.3009,-1.76083,0.00338153,0.0023373,0.00387065,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.5,3.5,3.14948,-1.30538,0.0033796,0.0023373,0.00386955,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-0.75,5,1.51524,-2.49089,0.00337185,0.0023373,0.00386511,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-2,1.75,4.9026,-0.524434,0.00336807,0.0023373,0.00386294,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.25,3.5,3.01123,-0.846953,0.00334576,0.0023373,0.00385013,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.75,2.25,4.34389,-0.544995,0.00333884,0.0023373,0.00384615,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.25,3.75,2.80139,-1.15724,0.00332262,0.0023373,0.00383679,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.5,3.75,2.9495,-1.6682,0.00330677,0.0023373,0.00382763,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.5,2.75,3.78527,-0.572157,0.00329963,0.0023373,0.00382349,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.25,4.25,2.40488,-2.01429,0.00324507,0.0023373,0.00379175,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.25,3.25,3.22679,-0.609658,0.00324459,0.0023373,0.00379147,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1,4,2.45487,-0.975542,0.00322628,0.0023373,0.00378076,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.25,4,2.59868,-1.55034,0.00322614,0.0023373,0.00378068,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.75,2,4.56498,-0.417591,0.0031652,0.0023373,0.0037448,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1,3.75,2.66853,-0.664657,0.00316252,0.0023373,0.00374321,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1,4.25,2.24872,-1.39692,0.0031347,0.0023373,0.00372671,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.5,2.5,4.00599,-0.423381,0.00311293,0.0023373,0.00371375,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1,4.5,2.05233,-1.92875,0.00307905,0.0023373,0.00369348,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-1.5,5.75,1.85529,-2.99573,0.00942339,0.0013356,0.00369227,0.0254701,True,empty floor,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,6,0.871429
-1.25,3,3.44701,-0.431107,0.00304472,0.0023373,0.00367283,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-0.75,4.25,2.11068,-0.7527,0.0030295,0.0023373,0.00366364,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-0.75,4.5,1.90008,-1.19238,0.00301246,0.0023373,0.00365332,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
-0.5,5.25,1.1617,-2.50131,0.00301179,0.0023373,0.00365292,0.0445727,True,empty floor,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,0,0.025,3,0.775
