x,y,dist_robot,snd_loglik,snd_post,vis_post,fused,vis_like,observed,mle_class,ev_chair,post_chair,ev_couch,post_couch,ev_toilet,post_toilet,ev_microwave,post_microwave,ev_oven,post_oven,ev_sink,post_sink,ev_refrigerator,post_refrigerator,ev_tv,post_tv,ev_empty_floor,post_empty_floor
-0.25,6.75,0.595944,-0.0159396,0.0675189,0.00184338,0.0332219,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1.5,7,1.86593,-0.0636462,0.0615174,0.00184338,0.031711,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1.25,7,1.62461,-0.0135924,0.0614686,0.00184338,0.0316985,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-0.5,6.75,0.835153,-0.060929,0.0585317,0.00184338,0.0309319,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1.75,7,2.10927,-0.127072,0.0577189,0.00184338,0.0307164,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-2.25,7.25,2.65491,-0.0292459,0.0564787,0.00184338,0.0303846,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1,7,1.38637,-0.00440577,0.0527897,0.00184338,0.0293755,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-2,7,2.35401,-0.192508,0.0527663,0.00184338,0.029369,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-2,7.25,2.41479,-0.00511086,0.0521587,0.00184338,0.0291995,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-2.25,7,2.59975,-0.255291,0.0478462,0.00184338,0.0279663,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-0.75,6.75,1.07926,-0.203764,0.0440262,0.00184338,0.0268267,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1.75,7.25,2.1769,-0.00249801,0.0438407,0.00184338,0.0267701,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1,6.75,1.32557,-0.335432,0.0343268,0.00184338,0.023688,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-0.75,7,1.15312,-0.104802,0.031649,0.00184338,0.0227453,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1.5,7.25,1.94205,-0.0403659,0.0314606,0.00184338,0.0226775,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-2.25,7.5,2.73193,-0.0221935,0.0308018,0.00184338,0.0224388,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1.25,6.75,1.57305,-0.443685,0.0281,0.00184338,0.0214321,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1.5,6.75,1.82121,-0.531291,0.0239423,0.00184338,0.0197831,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-2,7.5,2.49922,-0.0758384,0.0211372,0.00184338,0.0185881,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1.75,6.75,2.06981,-0.602656,0.021033,0.00184338,0.0185422,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-2.25,6.75,2.56784,-0.710681,0.0173064,0.00184338,0.0168196,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1.25,7.25,1.7115,-0.153814,0.0172425,0.00184338,0.0167885,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
0,6.75,0.371239,-0.908311,0.0122099,0.00184338,0.0141276,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1.75,7.5,2.27019,-0.182231,0.0120203,0.00184338,0.0140174,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-2.25,7.75,2.82901,-0.200566,0.00955205,0.00184338,0.0124957,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-0.5,7,0.928634,-0.49435,0.00780234,0.00184338,0.0112934,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1,7.25,1.48725,-0.408816,0.00594609,0.00184338,0.00985887,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1.5,7.5,2.04608,-0.372517,0.00520238,0.00184338,0.00922173,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-2.25,6.5,2.56006,-1.35867,0.00301902,0.00184338,0.00702497,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-2,6.5,2.3101,-1.37263,0.00274848,0.00184338,0.00670282,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1.75,6.5,2.06016,-1.39001,0.00244368,0.00184338,0.00632024,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1.5,6.5,1.81023,-1.41225,0.00210119,0.00184338,0.00586063,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1.75,7.75,2.38614,-0.584256,0.00193008,0.00184338,0.00561693,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1.25,6.5,1.56032,-1.44171,0.00171992,0.00184338,0.00530231,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1.25,7.5,1.82869,-0.69538,0.0015286,0.00184338,0.00499872,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-1,6.5,1.31044,-1.48257,0.00130489,0.00184338,0.00461847,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-0.75,7.25,1.27262,-0.925467,0.000948237,0.00184338,0.00393704,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-0.75,6.5,1.06063,-1.54292,0.000874537,0.00184338,0.00378095,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-0.5,6.5,0.810924,-1.64081,0.000471532,0.00245784,0.00370174,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-2.25,6.25,2.57663,-2.07104,0.00038165,0.00245784,0.0033303,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-1.5,7.75,2.17401,-0.928409,0.000579284,0.00184338,0.00307721,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-2,6.25,2.32845,-2.15536,0.000279821,0.00245784,0.00285161,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-1.75,6.25,2.08071,-2.25548,0.000192621,0.00245784,0.00236593,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
0.25,5.5,1.04694,-2.99573,0.00016699,0.00245784,0.0022029,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-0.25,6.5,0.561487,-1.82516,0.000166432,0.00245784,0.00219922,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
0.25,5.25,1.29661,-2.99573,0.000162791,0.00245784,0.00217503,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
0.25,5.75,0.797471,-2.99573,0.000159346,0.00245784,0.00215189,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
0.25,5,1.54639,-2.99573,0.00015606,0.00245784,0.00212959,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
0.25,4.75,1.79623,-2.99573,0.000149449,0.00245784,0.002084,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
0.25,4.5,2.04611,-2.99573,0.000143609,0.00245784,0.00204287,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
0.25,4.25,2.29601,-2.99573,0.000138607,0.00245784,0.00200698,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-0.25,7,0.721132,-1.60177,0.000239403,0.00184338,0.00197823,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
0.25,4,2.54594,-2.99573,0.000134352,0.00245784,0.00197594,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
0,3.5,3.06094,-2.99573,0.00013199,0.00245784,0.00195849,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
