step,phase,time,robot_x,robot_y,n_detections,n_depth_rejected,n_doa_samples,chemicalConc,H_fused,trigger,peak_object,q_s_map,L0_map,init_view,robot_yaw,yolo_raw,det_no_depth,det_off_class,best_detection,best_sim,level_db
0,pre_sensing,1.31,0.0,0.0,0,0,0,,8.725,1.0,unobserved,,,,,,,,,,
1,Initialization,56.89,0.3050373457397033,6.105504276571867,1,0,60,,,,,,,0.0,-117.7,3.0,0.0,2.0,,,
1,Initialization,86.77,0.31323699251288084,6.080910682557509,2,0,58,,,,,,,1.0,-50.4,2.0,0.0,0.0,,,
1,Initialization,117.28,0.2895949573493548,6.046981955347214,2,0,59,,,,,,,2.0,17.5,2.0,0.0,0.0,,,
1,Initialization,144.52,0.27847927305732156,6.083707417786661,0,0,60,,,,,,,3.0,81.8,0.0,0.0,0.0,,,
1,Initialization,171.55,0.318734665589566,6.076496121524571,0,0,60,,,,,,,4.0,153.2,15.0,0.0,3.0,,,
1,Initialization,197.91,0.3019388570325716,6.121957552566836,1,0,60,,,,,,,5.0,-135.7,3.0,0.0,2.0,,,
1,Initialization,204.02,0.3019388570325716,6.121957552566836,1,0,60,,8.585,0.984,refrigerator,,20.0,,-135.7,3.0,0.0,2.0,,,
2,search,249.42,0.3041541941745016,6.145888499610882,1,0,59,,6.924,0.7937,empty floor,,20.0,,-133.4,3.0,0.0,2.0,tv,0.24069148302078247,
3,search,304.97,-0.16127143030590885,6.590660714830897,0,0,60,,7.129,0.8171,empty floor,,20.0,,125.0,0.0,0.0,0.0,,,
