x,y,dist_robot,snd_loglik,snd_post,vis_post,fused,vis_like,observed,mle_class,vis_phrase_source,ev_tv,post_tv,sim_tv,ev_chair,post_chair,sim_chair,ev_couch,post_couch,sim_couch,ev_toilet,post_toilet,sim_toilet,ev_microwave,post_microwave,sim_microwave,ev_oven,post_oven,sim_oven,ev_sink,post_sink,sim_sink,ev_refrigerator,post_refrigerator,sim_refrigerator,ev_clock,post_clock,sim_clock,ev_empty_floor,post_empty_floor,sim_empty_floor
-2.25,1.75,5.16124,-0.376781,0.00236407,0.00236407,0.00236407,0.100116,True,empty floor,sound_similarity,0,0.0666667,0.301765,0,0.0666667,0.026054,0,0.0666667,0.0565887,0,0.0666667,0.124016,0,0.0666667,0.229857,0,0.0666667,0.225025,0,0.0666667,0.110743,0,0.0666667,0.159985,0,0.0666667,0.267705,0.5,0.4,0
1.5,5.5,1.24137,-2.99573,0.00236407,0.00236407,0.00236407,0.103381,True,couch,sound_similarity,0,0.05,0.301765,0,0.05,0.026054,1,0.55,0.0565887,0,0.05,0.124016,0,0.05,0.229857,0,0.05,0.225025,0,0.05,0.110743,0,0.05,0.159985,0,0.05,0.267705,0,0.05,0
-1.5,6,1.94987,-2.99573,0.00236407,0.00236407,0.00236407,0.100116,True,empty floor,sound_similarity,0,0.0666667,0.301765,0,0.0666667,0.026054,0,0.0666667,0.0565887,0,0.0666667,0.124016,0,0.0666667,0.229857,0,0.0666667,0.225025,0,0.0666667,0.110743,0,0.0666667,0.159985,0,0.0666667,0.267705,0.5,0.4,0
-1.75,6,2.19919,-2.99573,0.00236407,0.00236407,0.00236407,0.100116,True,empty floor,sound_similarity,0,0.0666667,0.301765,0,0.0666667,0.026054,0,0.0666667,0.0565887,0,0.0666667,0.124016,0,0.0666667,0.229857,0,0.0666667,0.225025,0,0.0666667,0.110743,0,0.0666667,0.159985,0,0.0666667,0.267705,0.5,0.4,0
-2,6,2.44865,-2.99573,0.00236407,0.00236407,0.00236407,0.100116,True,empty floor,sound_similarity,0,0.0666667,0.301765,0,0.0666667,0.026054,0,0.0666667,0.0565887,0,0.0666667,0.124016,0,0.0666667,0.229857,0,0.0666667,0.225025,0,0.0666667,0.110743,0,0.0666667,0.159985,0,0.0666667,0.267705,0.5,0.4,0
-2.25,6,2.69821,-2.99573,0.00236407,0.00236407,0.00236407,0.100116,True,empty floor,sound_similarity,0,0.0666667,0.301765,0,0.0666667,0.026054,0,0.0666667,0.0565887,0,0.0666667,0.124016,0,0.0666667,0.229857,0,0.0666667,0.225025,0,0.0666667,0.110743,0,0.0666667,0.159985,0,0.0666667,0.267705,0.5,0.4,0
2,5.75,1.60729,-2.99573,0.00236407,0.00236407,0.00236407,0.100116,True,empty floor,sound_similarity,0,0.0666667,0.301765,0,0.0666667,0.026054,0,0.0666667,0.0565887,0,0.0666667,0.124016,0,0.0666667,0.229857,0,0.0666667,0.225025,0,0.0666667,0.110743,0,0.0666667,0.159985,0,0.0666667,0.267705,0.5,0.4,0
1.75,5.75,1.36669,-2.99573,0.00236407,0.00236407,0.00236407,0.100116,True,empty floor,sound_similarity,0,0.0666667,0.301765,0,0.0666667,0.026054,0,0.0666667,0.0565887,0,0.0666667,0.124016,0,0.0666667,0.229857,0,0.0666667,0.225025,0,0.0666667,0.110743,0,0.0666667,0.159985,0,0.0666667,0.267705,0.5,0.4,0
1.5,5.75,1.13017,-2.99573,0.00236407,0.00236407,0.00236407,0.100116,True,empty floor,sound_similarity,0,0.0666667,0.301765,0,0.0666667,0.026054,0,0.0666667,0.0565887,0,0.0666667,0.124016,0,0.0666667,0.229857,0,0.0666667,0.225025,0,0.0666667,0.110743,0,0.0666667,0.159985,0,0.0666667,0.267705,0.5,0.4,0
1.25,5.75,0.900968,-2.99573,0.00236407,0.00236407,0.00236407,0.100116,True,empty floor,sound_similarity,0,0.0666667,0.301765,0,0.0666667,0.026054,0,0.0666667,0.0565887,0,0.0666667,0.124016,0,0.0666667,0.229857,0,0.0666667,0.225025,0,0.0666667,0.110743,0,0.0666667,0.159985,0,0.0666667,0.267705,0.5,0.4,0
