run_dir,condition,scene,sensors,nav_mode,trigger_mode,entropy_frac,run,team_size,steps,terminated,team_distance,per_robot_distance,total_listen_s,final_target_error,final_min_gt_distance,final_target_object,final_dist_to_target,final_fused_entropy,final_trigger_stat,final_trigger_V,final_trigger_O,final_trigger_A,total_step_time,sound_ever_detected,correct_target
save_VAO_odor_and_sound/0.7/1,odor_and_sound,FloorPlan401,VAO,greedy,fused,0.7,1,2,5,True,8.629,"[4.467, 4.162]",8.0,0.8234255454893182,0.8135125202318368,GarbageCan,,5.467566763134527,0.6328022878394274,,,,8.462600946426392,True,False
save_VAO_odor_and_sound/0.7/2,odor_and_sound,FloorPlan401,VAO,greedy,fused,0.7,2,2,3,True,7.308,"[3.723, 3.585]",4.0,0.8543647789617682,0.8530138584282136,GarbageCan,,5.955125198616631,0.6892310626115546,,,,4.651829719543457,True,False
save_VAO_odor_and_sound/0.7/3,odor_and_sound,FloorPlan401,VAO,greedy,fused,0.7,3,2,5,True,6.667,"[3.545, 3.122]",8.0,0.8738039799940319,0.8530138584282136,GarbageCan,,5.40106771852035,0.6251058573441073,,,,8.775094747543335,True,False
save_VAO_odor_and_sound/0.7/4,odor_and_sound,FloorPlan401,VAO,greedy,fused,0.7,4,2,2,True,5.439,"[2.828, 2.61]",4.0,0.9335483791782004,0.8530138584282136,GarbageCan,,5.3708350254813935,0.621606802252253,,,,3.8215346336364746,True,False
save_VAO_odor_and_sound/0.7/5,odor_and_sound,FloorPlan401,VAO,greedy,fused,0.7,5,2,2,True,4.636,"[2.5, 2.136]",4.0,0.1610079592074781,0.8530138584282136,GarbageCan,,5.799447885942021,0.6712133659115495,,,,3.729985475540161,True,False
save_VO_odor_only/0.7/1,odor_only,FloorPlan1,VO,greedy,fused,0.7,1,2,14,True,11.295,"[5.5, 5.795]",0.0,0.2371131067034699,0.4344695542652694,GarbageCan,,6.046656567900348,0.6781895885955687,,,,22.840639114379883,False,True
save_VO_odor_only/0.7/2,odor_only,FloorPlan1,VO,greedy,fused,0.7,2,2,12,True,10.295,"[5.0, 5.295]",0.0,0.1265034125420829,0.4344695542652694,GarbageCan,,6.235048465340844,0.6993195175050708,,,,18.730320692062378,False,True
save_VO_odor_only/0.7/3,odor_only,FloorPlan1,VO,greedy,fused,0.7,3,2,12,True,9.305,"[4.5, 4.805]",0.0,0.2037712360995804,0.4344699110954978,GarbageCan,,6.112780203924016,0.6856059782991609,,,,16.55276107788086,False,True
save_VO_odor_only/0.7/4,odor_only,FloorPlan1,VO,greedy,fused,0.7,4,2,13,True,8.331,"[4.0, 4.331]",0.0,0.2212296488838101,0.4344695542652694,GarbageCan,,5.884648348621033,0.6600188381406125,,,,18.208903312683105,False,True
save_VO_odor_only/0.7/5,odor_only,FloorPlan1,VO,greedy,fused,0.7,5,2,12,True,7.346,"[3.5, 3.846]",0.0,0.1469113949947382,0.4344699110954978,GarbageCan,,6.013613784606136,0.6744835286669599,,,,15.50483775138855,False,True
save_VA_sound_only/0.7/1,sound_only,FloorPlan301,VA,greedy,fused,0.7,1,2,4,True,4.41,"[2.453, 1.958]",8.0,0.2566894198706588,0.5405834715211383,Book,,4.706151769179983,0.5506271068710321,,,,7.137956619262695,True,False
save_VA_sound_only/0.7/2,sound_only,FloorPlan301,VA,greedy,fused,0.7,2,2,2,True,4.103,"[3.202, 0.901]",4.0,1.0190422691288883,0.9366804211223,PaperTowelRoll,,5.946165213766215,0.69571061649033,,,,3.7195425033569336,True,False
save_VA_sound_only/0.7/3,sound_only,FloorPlan301,VA,greedy,fused,0.7,3,2,3,True,5.918,"[3.432, 2.486]",4.0,0.6389801462911581,0.7465411157039608,Stool,,5.977559644254379,0.6993838138879934,,,,4.35246467590332,True,False
save_VA_sound_only/0.7/4,sound_only,FloorPlan301,VA,greedy,fused,0.7,4,2,4,True,5.611,"[2.975, 2.636]",8.0,1.3743552435941655,1.2904609965566662,PaperTowelRoll,,5.79643460998043,0.6781919020042085,,,,6.953927516937256,True,False
save_VA_sound_only/0.7/5,sound_only,FloorPlan301,VA,greedy,fused,0.7,5,2,10,True,6.864,"[4.305, 2.559]",16.0,0.020358473387513,0.5404551545602458,SaltShaker,,5.6588403911300045,0.6620931635096379,,,,16.757695198059082,True,False
