step,fused_entropy,Bayesian_entropy,visual_entropy,sound_entropy,semantic_entropy,target_coord_estimation_error,step_time,min_gt_distance,any_sound_detected,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target,target_object
0,7.639854582419087,8.546894459887639,8.382803290329349,7.871408746526211,1.303681495269478,1.3814581124299072,2.922170877456665,3.7975178420504645,True,0.8938749177580839,,,,,
1,7.5544206568616,8.546894459887639,8.322018499271728,7.871408746526211,1.2405472071176222,1.3548838372106315,0.7177212238311768,3.548030356610464,False,0.8838790150406178,,,,,
2,7.4862221529076525,8.546894459887639,8.27426921147006,7.871408746526211,1.192563790280024,1.374234332374062,0.7403740882873535,3.2986204786496947,False,0.8758996835683484,,,,,
3,6.2149507832606945,8.546894459887639,8.234415877768228,6.4527948604748415,1.15250745333683,1.0082941847303188,2.756643533706665,3.049307251312157,True,0.7271589478995858,,,,,
4,6.179584045977778,8.546894459887639,8.20813677015947,6.4527948604748415,1.1188585943789715,0.959699065684475,0.7850666046142578,2.8001164910843737,False,0.7230209844031487,,,,,
5,6.175754723147639,8.546894459887639,8.1867726022245,6.4527948604748415,1.0895509073063843,0.959699065684475,0.8530106544494629,2.55108408610544,False,0.7225729476515412,,,,,
6,6.486658689069302,8.546894459887639,8.169724299827124,6.332260919308915,1.063697481190514,1.3717585875174658,2.896610975265503,2.302261424147612,True,0.758949197221581,,,,,
7,6.494625383801127,8.546894459887639,8.17032608368396,6.332260919308915,1.037466033825915,1.3717585875174658,0.9059615135192871,2.053724741988554,False,0.7598813129472652,,,,,
8,6.51715419278128,8.546894459887639,8.17674037034827,6.332260919308915,1.0103011107742235,1.3717585875174658,0.940518856048584,1.8055921373869888,False,0.7625172187825234,,,,,
9,5.6588403911300045,8.546894459887639,8.158678245653865,5.31097015778197,0.9819007963357615,0.020358473387513003,3.239616870880127,1.7903082193862394,True,0.6620931635096379,,,,0.56,SaltShaker
