step,robot_id,robot_x,robot_z,robot_yaw,step_time,listen_s,behavior_flag,is_random,target_object,target_coordinate,target_coord_estimation_error,concentration,sound_active,sound_detected,sound_doa_deg,sound_level_db,n_doa_samples,doa_sigma_eff,gt_distance_from_source,Bayesian_entropy,visual_entropy,sound_entropy,fused_entropy,semantic_entropy,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target
0,0,2.75,1.25,270.0,2.922170877456665,2.0,Initialization,False,PaperTowelRoll,"0.05, 0.27, -0.15",1.3814581124299072,,True,True,62.55947025323076,65.96144024077991,20.0,12.5,4.396989968956556,8.546894459887639,8.382803290329349,7.871408746526211,7.639854582419087,1.303681495269478,0.8938749177580839,,,,
1,0,2.5,1.25,240.25509643554688,0.7177212238311768,0.0,search,False,PaperTowelRoll,"0.02, 0.26, -0.14",1.3548838372106315,,False,False,,,,,4.168440768182072,8.546894459887639,8.322018499271728,7.871408746526211,7.5544206568616,1.2405472071176222,0.8838790150406178,,,,
2,0,2.25,1.25,238.06394958496094,0.7403740882873535,0.0,search,False,PaperTowelRoll,"0.04, 0.26, -0.14",1.374234332374062,,False,False,,,,,3.942496174833922,8.546894459887639,8.27426921147006,7.871408746526211,7.4862221529076525,1.192563790280024,0.8758996835683484,,,,
3,0,2.0,1.25,234.6563720703125,2.756643533706665,2.0,search,False,Pan,"-0.74, 0.51, 0.36",1.0082941847303188,,True,True,20.105528028239462,50.139844571522914,20.0,12.5,3.719630860625536,8.546894459887639,8.234415877768228,6.4527948604748415,6.2149507832606945,1.15250745333683,0.7271589478995858,,,,
4,0,1.75,1.25,250.33160400390625,0.7850666046142578,0.0,search,False,CreditCard,"-0.65, 0.53, 0.23",0.959699065684475,,False,False,,,,,3.50043302893451,8.546894459887639,8.20813677015947,6.4527948604748415,6.179584045977778,1.1188585943789715,0.7230209844031487,,,,
5,0,1.5,1.25,244.61944580078125,0.8530106544494629,0.0,search,False,CreditCard,"-0.65, 0.53, 0.23",0.959699065684475,,False,False,,,,,3.2856367785854528,8.546894459887639,8.1867726022245,6.4527948604748415,6.175754723147639,1.0895509073063843,0.7225729476515412,,,,
6,0,1.25,1.25,241.77120971679688,2.896610975265503,2.0,search,False,PaperTowelRoll,"0.04, 0.26, -0.15",1.3717585875174658,,True,True,327.90511732862365,58.76794312090477,20.0,12.5,3.076164282272836,8.546894459887639,8.169724299827124,6.332260919308915,6.486658689069302,1.063697481190514,0.758949197221581,,,,
7,0,1.0,1.25,214.43899536132812,0.9059615135192871,0.0,search,False,PaperTowelRoll,"0.04, 0.26, -0.15",1.3717585875174658,,False,False,,,,,2.873180179221087,8.546894459887639,8.17032608368396,6.332260919308915,6.494625383801127,1.037466033825915,0.7598813129472652,,,,
8,0,0.75,1.25,206.8915252685547,0.940518856048584,0.0,search,False,PaperTowelRoll,"0.04, 0.26, -0.15",1.3717585875174658,,False,False,,,,,2.6781601880781287,8.546894459887639,8.17674037034827,6.332260919308915,6.51715419278128,1.0103011107742235,0.7625172187825234,,,,
9,0,-0.75,-0.5,272.04541015625,3.239616870880127,2.0,goal_navigation,False,SaltShaker,"-1.31, 1.33, -0.48",0.020358473387513003,,True,True,23.818731877159987,84.89579957097466,20.0,12.5,0.5404551545602458,8.546894459887639,8.158678245653865,5.31097015778197,5.6588403911300045,0.9819007963357615,0.6620931635096379,,,,0.56
