step,fused_entropy,Bayesian_entropy,visual_entropy,sound_entropy,semantic_entropy,target_coord_estimation_error,step_time,min_gt_distance,any_sound_detected,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target,target_object
0,8.427255867589183,8.679935820219132,8.777944600813646,8.915879378835774,1.3444439320905126,0.18515624541739825,1.331411600112915,4.220221785057503,False,0.9451962627033214,,,,,
1,8.232414853301076,8.556604443327611,8.72622761024893,8.915879378835774,1.2918210547228508,0.16796697520345746,1.2686305046081543,4.136214595240882,False,0.9233430044873551,,,,,
2,8.074093644666206,8.45072735284618,8.683755072365445,8.915879378835774,1.2492590188905244,0.15212815091537174,1.3370304107666016,4.065866505518036,False,0.9055857870657412,,,,,
3,7.925591324702517,8.342310475589578,8.653015241382201,8.915879378835774,1.2211278163860608,0.1714728933899095,1.539381980895996,3.939482862791913,False,0.8889298506567989,,,,,
4,7.765128103032319,8.223616514246476,8.625140382848036,8.915879378835774,1.1961215603331996,0.14799673400501057,1.6485354900360107,3.806609378707432,False,0.8709323862618565,,,,,
5,7.597557391611313,8.09524128264546,8.60204011086508,8.915879378835774,1.1748212191391314,0.14799673400501057,1.47294020652771,3.685922502969317,False,0.8521377498271399,,,,,
6,7.400929017712507,7.944872005394668,8.58150315806476,8.915879378835774,1.1554846151530815,0.15688547478032575,1.7792823314666748,3.5786553946598167,False,0.8300840223658243,,,,,
7,7.174074065866106,7.775726100124302,8.563410258209261,8.915879378835774,1.1373543728115336,0.1365031238400094,1.5623629093170166,3.4860470693265206,False,0.804640098978424,,,,,
8,6.935315832844049,7.595261037139026,8.5479436405269,8.915879378835774,1.12115696255826,0.1465028745498517,1.6030185222625732,3.409292288055138,False,0.7778611102912493,,,,,
9,6.7150250636334565,7.42533324073369,8.534757745248672,8.915879378835774,1.1035708398892485,0.12650341254208294,1.644247055053711,3.1695856461376763,False,0.7531534219241869,,,,,
10,6.486306935609544,7.255965412506116,8.521070043527914,8.915879378835774,1.084805965674356,0.1465028745498517,1.8865110874176025,2.931598954668211,False,0.7275005257480861,,,,,
11,6.235048465340844,7.082149497265027,8.506182145108887,8.915879378835774,1.0646355973376374,0.12650341254208294,1.656968593597412,2.683657238004424,False,0.6993195175050708,,,,0.561,GarbageCan
