step,robot_id,robot_x,robot_z,robot_yaw,step_time,listen_s,behavior_flag,is_random,target_object,target_coordinate,target_coord_estimation_error,concentration,sound_active,sound_detected,sound_doa_deg,sound_level_db,n_doa_samples,doa_sigma_eff,gt_distance_from_source,Bayesian_entropy,visual_entropy,sound_entropy,fused_entropy,semantic_entropy,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target
0,0,2.0,1.0,270.0,1.2628796100616455,0.0,Initialization,False,GarbageCan,"-1.92, 0.22, 2.25",0.22141052876454098,3.937316022589225,False,False,,,,,4.0658668515031815,8.705191909954642,8.79815983639806,8.915879378835774,8.466620075796158,1.3637696904366932,0.9496113300830367,,,,
1,0,2.0,1.25,284.31103515625,1.096585988998413,0.0,search,False,GarbageCan,"-1.93, 0.23, 2.24",0.21102756695781427,3.822696875276984,False,False,,,,,4.009896821236445,8.548797414251826,8.750809912861438,8.915879378835774,8.216927880581817,1.3108947947307588,0.9216059943662871,,,,
2,0,2.0,1.5,280.6636962890625,1.1314702033996582,0.0,search,False,GarbageCan,"-1.95, 0.22, 2.24",0.2116426199459768,3.826261643857047,False,False,,,,,3.968913173624727,8.420637687341504,8.710600816548467,8.915879378835774,8.032387214926406,1.2686670993686078,0.9009080174405933,,,,
3,0,2.0,1.75,277.0714111328125,1.411435842514038,0.0,search,False,GarbageCan,"-1.95, 0.18, 2.25",0.2216135580012812,3.8716680384822344,False,False,,,,,3.9433831975325013,8.292691398510524,8.680582113258605,8.915879378835774,7.863844290491455,1.2377569374386541,0.8820043381428415,,,,
4,0,2.0,2.0,273.6214599609375,1.2569265365600586,0.0,search,False,GarbageCan,"-1.95, 0.18, 2.25",0.2216135580012812,3.885582646367094,False,False,,,,,3.9336077976065953,8.163424976952705,8.652488816896618,8.915879378835774,7.684133898951572,1.210054279201459,0.8618481220362761,,,,
5,0,1.75,2.0,273.8654479980469,1.3182647228240967,0.0,search,False,GarbageCan,"-1.95, 0.18, 2.25",0.2216135580012812,4.032972463631887,False,False,,,,,3.6836150535051417,8.036427082129363,8.630394127858324,8.915879378835774,7.505614995510561,1.1885130712579441,0.841825542562537,,,,
6,0,1.5,2.0,274.14459228515625,1.3231911659240723,0.0,search,False,GarbageCan,"-1.95, 0.18, 2.25",0.2216135580012812,4.566867551755042,False,False,,,,,3.433623365983516,7.8908209466518455,8.610986018545681,8.915879378835774,7.293366012780038,1.1679149594989975,0.8180198164291898,,,,
7,0,1.25,2.0,274.4671630859375,1.5419087409973145,0.0,search,False,GarbageCan,"-2.08, 0.17, 2.03",0.14650251693028984,4.847516346805369,False,False,,,,,3.1836329839424407,7.749229894027134,8.597932726581574,8.915879378835774,7.10120100985052,1.1496364774685446,0.7964666981371598,,,,
8,0,1.0,2.0,270.55804443359375,1.3566381931304932,0.0,search,False,GarbageCan,"-2.09, 0.16, 2.03",0.15650229949633646,5.213782596095336,False,False,,,,,2.9336442411213617,7.601603206059297,8.58411175435499,8.915879378835774,6.899584763682586,1.129210766096888,0.7738535337367392,,,,
9,0,0.75,2.0,270.605224609375,1.3943455219268799,0.0,search,False,GarbageCan,"-1.90, 0.16, 2.24",0.21364149216372083,5.871721863209661,False,False,,,,,2.6836575956114093,7.426843376935272,8.570255117746703,8.915879378835774,6.654235974901515,1.1084070710914384,0.7463353520346098,,,,
10,0,0.5,2.0,275.7106018066406,1.4640872478485107,0.0,search,False,GarbageCan,"-1.90, 0.16, 2.24",0.21364149216372083,6.263960809591057,False,False,,,,,2.4336736937192485,7.23340114445968,8.55603837418471,8.915879378835774,6.375242483717052,1.0903210891405333,0.7150435994962423,,,,
11,0,-1.5,2.0,299.89886474609375,1.9950273036956787,0.0,goal_navigation,False,GarbageCan,"-1.90, 0.13, 2.23",0.20377123609958045,7.279522195608583,False,False,,,,,0.4344699110954978,7.000926769748129,8.552004040251141,8.915879378835774,6.112780203924016,1.078462684221366,0.6856059782991609,,,,0.461
