step,robot_id,robot_x,robot_z,robot_yaw,step_time,listen_s,behavior_flag,is_random,target_object,target_coordinate,target_coord_estimation_error,concentration,sound_active,sound_detected,sound_doa_deg,sound_level_db,n_doa_samples,doa_sigma_eff,gt_distance_from_source,Bayesian_entropy,visual_entropy,sound_entropy,fused_entropy,semantic_entropy,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target
0,1,-1.0,-1.75,270.0,1.263683795928955,0.0,Initialization,False,GarbageCan,"-2.20, 0.15, 2.03",0.2665009846805155,3.8994777207049154,False,False,,,,,3.892592458434927,8.684467836526242,8.81364251216414,8.915879378835774,8.48570221865042,1.384140695103455,0.9517515724577327,,,,
1,1,-1.0,-1.5,341.8781433105469,1.0917963981628418,0.0,search,False,GarbageCan,"-2.05, 0.18, 2.03",0.11650339318971012,4.178460993889035,False,False,,,,,3.6503801596921686,8.487978418285138,8.769219614391336,8.915879378835774,8.212797560896536,1.3350930370648129,0.9211427400410788,,,,
2,1,-1.0,-1.25,339.9047546386719,1.1039395332336426,0.0,search,False,GarbageCan,"-2.08, 0.17, 2.03",0.14650251693028984,4.670044729790254,False,False,,,,,3.4092923859774737,8.333790566607828,8.73395795666524,8.915879378835774,8.01179044686222,1.2939042974404298,0.8985978955570383,,,,
3,1,-1.0,-1.0,345.8052673339844,1.3630225658416748,0.0,search,False,GarbageCan,"-2.06, 0.17, 2.03",0.12650305492535527,4.805494068428439,False,False,,,,,3.169585751465596,8.19915517964813,8.704727887719098,8.915879378835774,7.839089836516288,1.2628412313161437,0.879227892553646,,,,
4,1,-1.0,-0.75,344.5135498046875,1.1811654567718506,0.0,search,False,GarbageCan,"-2.08, 0.16, 2.03",0.14650251693028984,5.2391147566609755,False,False,,,,,2.931599068546632,8.078673202379473,8.679630331967985,8.915879378835774,7.690830164590865,1.2329888095650892,0.8625991714117521,,,,
5,1,-1.0,-0.5,342.9941711425781,1.2295472621917725,0.0,search,False,GarbageCan,"-2.06, 0.16, 2.03",0.12650305492535527,5.726321241669718,False,False,,,,,2.695787892530352,7.969969112126914,8.65736947543495,8.915879378835774,7.558354633827035,1.2087926359081926,0.8477407906357294,,,,
6,1,-1.0,-0.25,341.50042724609375,1.3017470836639404,0.0,search,False,GarbageCan,"-1.89, 0.09, 2.41",0.3834738629996083,6.3655534286569075,False,False,,,,,2.4627772177610767,7.857705581354423,8.638404810645529,8.915879378835774,7.433916521854371,1.1889861601923024,0.8337838822158992,,,,
7,1,-1.0,0.0,331.98614501953125,1.53885817527771,0.0,search,False,GarbageCan,"-2.08, 0.13, 2.03",0.14650251693028984,6.89857980688804,False,False,,,,,2.2334437282216766,7.730621013731509,8.630846693935826,8.915879378835774,7.3464330286583595,1.1745967910312638,0.8239717829849835,,,,
8,1,-1.0,0.25,81.68487548828125,1.2589173316955566,0.0,search,False,GarbageCan,"-2.09, 0.12, 2.03",0.15650229949633646,7.950078341338877,False,False,,,,,2.009047075093686,7.54186135942732,8.613713990393313,8.915879378835774,7.196579738651894,1.1452936921027186,0.8071643225383806,,,,
9,1,-1.0,0.5,332.7763977050781,1.2741198539733887,0.0,search,False,GarbageCan,"-2.07, 0.12, 2.04",0.13694150466008737,8.790920660705023,False,False,,,,,1.7914433880958252,7.280916968319156,8.604408178694442,8.915879378835774,7.070503504103426,1.1308421936624014,0.7930236832148222,,,,
10,1,-1.0,0.75,328.9793395996094,1.3017640113830566,0.0,search,False,GarbageCan,"-2.08, 0.15, 2.04",0.14691139499473824,9.807654359179677,False,False,,,,,1.5834357187969466,6.911561872428004,8.592793557202274,8.915879378835774,6.722085197931766,1.1183496330311677,0.7539452826031311,,,,
11,1,-1.5,2.0,273.12213134765625,1.5962762832641602,0.0,goal_navigation,False,GarbageCan,"-2.08, 0.15, 2.04",0.14691139499473824,11.255123108048942,False,False,,,,,0.4344699110954978,6.449662479487772,8.583781285203214,8.915879378835774,6.013613784606136,1.1101309541535593,0.6744835286669599,,,,0.581
