run_dir,condition,scene,sensors,nav_mode,trigger_mode,entropy_frac,run,team_size,steps,terminated,team_distance,per_robot_distance,total_listen_s,final_target_error,final_min_gt_distance,final_target_object,final_dist_to_target,final_fused_entropy,final_trigger_stat,final_trigger_V,final_trigger_O,final_trigger_A,total_step_time,sound_ever_detected,correct_target
save_VAO_odor_and_sound/0.7/1,odor_and_sound,FloorPlan401,VAO,greedy,fused,0.7,1,2,9,True,8.657,"[4.84, 3.817]",12.0,0.3615840693377306,0.8530138584282136,toilet,,5.730763691987141,0.6632640317824976,,,,13.417484760284424,True,False
save_VAO_odor_and_sound/0.7/2,odor_and_sound,FloorPlan401,VAO,greedy,fused,0.7,2,2,13,True,7.949,"[3.618, 4.33]",16.0,3.777242757497164,2.682650610147081,toilet,,6.020542139579934,0.6968022531792035,,,,19.66736674308777,True,False
save_VAO_odor_and_sound/0.7/3,odor_and_sound,FloorPlan401,VAO,greedy,fused,0.7,3,2,9,True,7.094,"[3.886, 3.208]",12.0,0.9709002512018466,0.8530138584282136,toilet,,4.74793714364741,0.5495141837637864,,,,13.671253204345703,True,False
save_VAO_odor_and_sound/0.7/4,odor_and_sound,FloorPlan401,VAO,greedy,fused,0.7,4,2,5,True,6.095,"[3.108, 2.986]",8.0,0.8877127827900027,0.8530138584282136,toilet,,4.974901683754905,0.5757824830750704,,,,8.113118886947632,True,False
save_VAO_odor_and_sound/0.7/5,odor_and_sound,FloorPlan401,VAO,greedy,fused,0.7,5,2,5,True,5.094,"[2.886, 2.208]",8.0,0.8483561718825299,0.8530138584282136,toilet,,5.194387085472583,0.6011851659084624,,,,8.219787836074829,True,False
save_VO_odor_only/0.7/1,odor_only,FloorPlan1,VO,greedy,fused,0.7,1,2,18,True,8.291,"[3.5, 4.791]",0.0,0.4305308515966189,0.5882883358365854,refrigerator,,6.100601046455608,0.6842399708700656,,,,20.990280389785767,False,False
save_VO_odor_only/0.7/2,odor_only,FloorPlan1,VO,greedy,fused,0.7,2,2,17,True,8.0,"[3.5, 4.5]",0.0,0.0335012317964505,0.5882883358365854,toaster,,6.209930473922469,0.6965022977613853,,,,17.794422149658203,False,False
save_VO_odor_only/0.7/3,odor_only,FloorPlan1,VO,greedy,fused,0.7,3,2,19,True,9.0,"[4.75, 4.25]",0.0,0.1551574149402416,0.5882883358365854,toaster,,5.914901188640698,0.6634119796058815,,,,20.437658548355103,False,False
save_VO_odor_only/0.7/4,odor_only,FloorPlan1,VO,greedy,fused,0.7,4,2,17,True,7.75,"[4.5, 3.25]",0.0,0.1422114453350244,0.5882883358365854,toaster,,6.150589233678739,0.6898466177412413,,,,17.63897204399109,False,False
save_VO_odor_only/0.7/5,odor_only,FloorPlan1,VO,greedy,fused,0.7,5,2,27,True,9.5,"[5.5, 4.0]",0.0,1.303643662122585,0.8348367531787256,apple,,6.235887532494939,0.699413626803598,,,,28.170782566070557,False,False
save_VA_sound_only/0.7/1,sound_only,FloorPlan301,VA,greedy,fused,0.7,1,2,7,True,4.208,"[2.708, 1.5]",12.0,0.0331660882967698,0.5405834715211383,clock,,5.405715219972598,0.6324771231635945,,,,11.741562128067017,True,False
save_VA_sound_only/0.7/2,sound_only,FloorPlan301,VA,greedy,fused,0.7,2,2,4,True,5.19,"[3.415, 1.775]",8.0,0.9650981077282692,0.5406549856856365,vase,,5.970019000691971,0.6985015468145204,,,,7.184339761734009,True,False
save_VA_sound_only/0.7/3,sound_only,FloorPlan301,VA,greedy,fused,0.7,3,2,10,True,6.101,"[3.601, 2.5]",16.0,0.0468046137873895,0.5405834715211383,clock,,5.609364422054611,0.6563043978582548,,,,16.136332273483276,True,False
save_VA_sound_only/0.7/4,sound_only,FloorPlan301,VA,greedy,fused,0.7,4,2,7,True,6.496,"[3.725, 2.771]",12.0,0.060781535159273,0.5405834715211383,clock,,5.780172473102084,0.6762892065918962,,,,11.583347082138062,True,False
save_VA_sound_only/0.7/5,sound_only,FloorPlan301,VA,greedy,fused,0.7,5,2,16,True,9.947,"[4.846, 5.101]",24.0,0.0363756035768711,0.5406549856856365,laptop,,5.071983089032759,0.5934299426343259,,,,26.427845239639282,True,False
