step,robot_id,robot_x,robot_z,robot_yaw,step_time,listen_s,behavior_flag,is_random,target_object,target_coordinate,target_coord_estimation_error,concentration,sound_active,sound_detected,sound_doa_deg,sound_level_db,n_doa_samples,doa_sigma_eff,gt_distance_from_source,Bayesian_entropy,visual_entropy,sound_entropy,fused_entropy,semantic_entropy,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target
0,1,-1.252075433731079,0.2506478428840637,270.0,2.9922592639923096,2.0,Initialization,False,toilet,"-3.40, 1.37, 1.25",3.9125141025838652,4.829623150146616,True,True,201.93819777087023,58.31330375650928,20.0,12.5,3.1297730468242264,8.446317224280877,8.623626695835325,6.718138562807132,7.574319963657047,1.3974310268711165,0.8766325514573504,,,,
1,1,-1.25,0.5,290.91796875,0.7622952461242676,0.0,search,False,toilet,"-3.40, 1.37, 1.25",3.9125141025838652,5.328642862396651,False,False,,,,,2.903909935944894,8.360635697555697,8.615999033455505,6.718138562807132,7.491509287521987,1.3915567395856667,0.8670482541664376,,,,
2,1,-1.25,0.75,299.8091125488281,0.7641327381134033,0.0,search,False,toilet,"-3.40, 1.37, 1.25",3.9125141025838652,5.784481492649111,False,False,,,,,2.6826506101470815,8.280805731368776,8.606939002963834,6.718138562807132,7.415987164823078,1.3830389201717694,0.8583075155350246,,,,
3,1,-1.5,0.75,303.3721923828125,1.001307725906372,0.0,search,False,sink,"-3.65, 0.16, 1.83",3.9100482020822818,5.464342366405511,False,False,,,,,2.8122281262571738,8.230383401507094,8.596546155462262,6.718138562807132,7.365689886894544,1.3708024136029022,0.8524862363583576,,,,
4,1,-1.75,0.75,299.61480712890625,3.0207579135894775,2.0,search,False,sink,"-3.17, 0.76, 1.85",3.4521770227018527,5.383384238187381,True,False,,12.393095021970304,,,2.957302786679335,8.199519193647447,8.586054251298059,6.171058996221765,6.811676726605167,1.360327947685531,0.7883661605527751,,,,
5,1,-2.0,0.75,303.78936767578125,0.8717222213745117,0.0,search,False,toilet,"-3.48, 1.38, 1.18",4.01615645769213,5.0209535635062155,False,False,,,,,3.115710594726472,8.183709958786894,8.57479688956032,6.171058996221765,6.794974390390267,1.3481602972536508,0.7864330745884085,,,,
6,1,-2.25,0.75,293.49853515625,0.8185186386108398,0.0,search,False,sink,"-3.65, 0.16, 1.83",3.9100482020822818,4.668611506441441,False,False,,,,,3.2855235881180658,8.160503814248663,8.570017558838947,6.171058996221765,6.783559442951766,1.343114739034885,0.7851119375694051,,,,
7,1,-2.5,0.75,313.2020568847656,0.8624649047851562,0.0,search,False,sink,"-3.65, 0.16, 1.83",3.9100482020822818,4.519170798106865,False,False,,,,,3.4650653653386736,8.148359279256248,8.563656221763436,6.171058996221765,6.775469811186264,1.3371174275752895,0.7841756641390549,,,,
8,1,-2.5,1.0,305.8194580078125,2.840822458267212,2.0,search,False,toilet,"-3.50, 1.35, 1.49",3.895964094156247,4.848614036096272,True,True,95.98573694885035,73.4412861908359,20.0,12.5,3.3008482797778917,8.1362770128498,8.55730995827733,5.527699061594204,6.084311518248048,1.3325928747855478,0.7041827590721297,,,,
9,1,-2.5,1.25,310.5205383300781,1.093135118484497,0.0,search,False,toilet,"-3.46, 1.36, 1.66",3.791923090373229,4.887727537278934,False,False,,,,,3.147939126818639,8.116498543613389,8.55275898118358,5.527699061594204,6.076480413800125,1.3302444918306453,0.7032764069367761,,,,
10,1,-2.5,1.0,296.1048583984375,0.873765230178833,0.0,search,False,toilet,"-3.46, 1.36, 1.66",3.791923090373229,4.559000860176746,False,False,,,,,3.3008482797778917,8.105216477102726,8.548231216967263,5.527699061594204,6.070787028120528,1.3268336342946812,0.7026174689411958,,,,
11,1,-2.5,0.75,306.12945556640625,0.8665196895599365,0.0,search,False,toilet,"-3.44, 1.36, 1.65",3.7772427574971643,4.4183748401852085,False,False,,,,,3.4650653653386736,8.088983933171523,8.543830820152333,5.527699061594204,6.065284601828616,1.3232286288726165,0.7019806321000498,,,,
12,1,-3.0,2.25,228.99090576171875,2.899665594100952,2.0,goal_navigation,False,toilet,"-3.44, 1.36, 1.65",3.7772427574971643,4.285293763457707,True,True,99.37356752577814,73.7060432926665,20.0,12.5,3.1645270961561804,8.056392235477125,8.5406718271684,5.555991169381612,6.020542139579934,1.3209586750279319,0.6968022531792035,,,,0.744
