step,robot_id,robot_x,robot_z,robot_yaw,step_time,listen_s,behavior_flag,is_random,target_object,target_coordinate,target_coord_estimation_error,concentration,sound_active,sound_detected,sound_doa_deg,sound_level_db,n_doa_samples,doa_sigma_eff,gt_distance_from_source,Bayesian_entropy,visual_entropy,sound_entropy,fused_entropy,semantic_entropy,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target
0,0,1.75,1.25,270.0,2.946523904800415,2.0,Initialization,False,bed,"-1.35, -0.28, 0.51",0.996692056783674,,True,True,60.550064330842304,94.88987289044141,20.0,12.5,3.5005382613317866,8.546894459887639,8.530621139757159,6.512138184254754,7.508059538876423,1.3969162051680983,0.8784546918314382,,,,
1,0,1.5,1.25,255.4446258544922,0.6510460376739502,0.0,search,False,vase,"-1.50, 0.18, -1.32",0.8610018339395822,,False,False,,,,,3.28573914886697,8.546894459887639,8.521707430868624,6.512138184254754,7.495602847816681,1.3938439714691864,0.8769972395230935,,,,
2,0,1.25,1.25,226.93783569335938,0.6561050415039062,0.0,search,False,vase,"-1.50, 0.18, -1.32",0.8610018339395822,,False,False,,,,,3.076263218540688,8.546894459887639,8.514117615367802,6.512138184254754,7.47732639709584,1.3873587448265225,0.8748588662453357,,,,
3,0,1.0,1.25,224.208984375,2.6771440505981445,2.0,search,False,vase,"-1.47, 0.18, -1.32",0.8541934920177108,,True,False,,48.89946338916087,,,2.873274965104382,8.546894459887639,8.505044877094345,5.577678449176301,6.959071842451301,1.3769538897936466,0.8142222739629791,,,,
4,0,0.75,1.25,220.8208770751953,0.9416821002960205,0.0,search,False,vase,"-1.47, 0.18, -1.32",0.8541934920177108,,False,False,,,,,2.6782499249406992,8.546894459887639,8.496246908224341,5.577678449176301,6.9723185906263305,1.3665429605409227,0.8157721641876916,,,,
5,0,0.5,1.25,217.47149658203125,0.7902579307556152,0.0,search,False,bed,"-1.53, -0.19, -0.22",0.35720703972481344,,False,False,,,,,2.493057619830343,8.546894459887639,8.490182800509873,5.577678449176301,7.023252273132076,1.361054444505071,0.8217314845870235,,,,
6,0,0.5,1.0,238.9947509765625,2.781327962875366,2.0,search,False,bed,"-1.53, -0.19, -0.22",0.35720703972481344,,True,False,,41.38381452768613,,,2.326022972730809,8.546894459887639,8.48635649422302,5.1152651092148345,6.650647398530371,1.3543713224385883,0.7781361323394419,,,,
7,0,0.5,0.75,244.45999145507812,0.8137710094451904,0.0,search,False,clock,"-1.31, 1.31, -0.46",0.03171089787194297,,False,False,,,,,2.174955044029371,8.546894459887639,8.479870695317368,5.1152651092148345,6.690274461045106,1.345592251731294,0.782772560541605,,,,
8,0,0.5,0.5,242.05911254882812,0.8237767219543457,0.0,search,False,clock,"-1.34, 1.30, -0.46",0.05552672586923926,,False,False,,,,,2.0433981544050925,8.546894459887639,8.471068996137587,5.1152651092148345,6.722088896060107,1.3362007376017984,0.7864948991248546,,,,
9,0,-0.75,-0.5,273.9451904296875,3.0546975135803223,2.0,goal_navigation,False,clock,"-1.33, 1.30, -0.46",0.046804613787389544,,True,True,354.1976852103661,52.44330102144823,20.0,12.5,0.5405834715211383,8.546894459887639,8.46218653079766,4.043903886068821,5.609364422054611,1.3270436789896276,0.6563043978582548,,,,0.581
