step,fused_entropy,Bayesian_entropy,visual_entropy,sound_entropy,semantic_entropy,target_coord_estimation_error,step_time,min_gt_distance,any_sound_detected,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target,target_object
0,8.262168962465795,8.546894459887639,8.529190379721364,7.8714138368226365,1.3789949481948214,1.1262613067620726,2.9294464588165283,3.797715852010052,True,0.9666866721289095,,,,,
1,8.25551995193186,8.546894459887639,8.517377078724621,7.8714138368226365,1.3750281119088053,1.9760872426828322,0.7071564197540283,3.5482282374130736,False,0.965908727512284,,,,,
2,8.241903465210582,8.546894459887639,8.501673774549667,7.8714138368226365,1.3619083241851042,0.8913457544298866,0.7374978065490723,3.573496134321245,False,0.9643155773002178,,,,,
3,7.38355488050593,8.546894459887639,8.488389546574277,6.603314541038874,1.3498091281605702,0.8913457544298866,2.751070022583008,3.61591283346851,True,0.8638874523557645,,,,,
4,7.37185369337695,8.546894459887639,8.47612317811009,6.603314541038874,1.3387241193405743,0.8913457544298866,0.974966287612915,3.37151354014919,False,0.8625183951872343,,,,,
5,7.366863616465443,8.546894459887639,8.4641293288096,6.603314541038874,1.3253829184965575,0.8913457544298866,0.7839715480804443,3.2857972251307586,False,0.8619345483952882,,,,,
6,7.355008638831425,8.546894459887639,8.454009973310383,6.636543023243675,1.314039366645439,0.8913457544298866,2.8048832416534424,3.076319446488619,True,0.8605474974974848,,,,,
7,7.3625968573507095,8.546894459887639,8.444423714578773,6.636543023243675,1.3052020275565726,0.8913457544298866,0.8321216106414795,2.8733289524541217,False,0.8614353309152131,,,,,
8,7.377107339780426,8.546894459887639,8.435110415929689,6.636543023243675,1.2945278275040393,0.7711689337302958,0.8510668277740479,2.6783011782057207,False,0.8631330800213728,,,,,
9,6.593274507809358,8.546894459887639,8.42992606288034,5.217084148377382,1.287119828075427,0.9725703078317864,3.112684726715088,2.4931055198978656,True,0.7714234145224295,,,,,
10,6.620551199891143,8.546894459887639,8.423134025665197,5.217084148377382,1.2778225889658437,0.9513085940871273,0.8870284557342529,2.2657105308220595,False,0.7746148300956297,,,,,
11,6.642847685165686,8.546894459887639,8.417206000003358,5.217084148377382,1.270840558392207,0.9513085940871273,0.8950645923614502,2.043458377761836,False,0.7772235536944977,,,,,
12,6.02063981109875,8.546894459887639,8.409561885601258,4.612772745121014,1.2607909895125522,0.036375603576871106,2.9270522594451904,1.9353994792837064,True,0.7044242606896424,,,,,
13,6.017372622514143,8.546894459887639,8.403847764597982,4.612772745121014,1.254236223109156,0.036375603576871106,0.9573311805725098,1.8549447827841807,False,0.7040419945226807,,,,,
14,6.012064073777736,8.546894459887639,8.3975424247583,4.612772745121014,1.2454176248189535,0.036375603576871106,1.2554757595062256,1.8057876813027773,False,0.703420886029845,,,,,
15,5.071983089032759,8.546894459887639,8.391373869847815,4.540805708286268,1.237132656450656,0.036375603576871106,3.0210280418395996,1.790507791860027,True,0.5934299426343259,,,,0.55,laptop
