step,robot_id,robot_x,robot_z,robot_yaw,step_time,listen_s,behavior_flag,is_random,target_object,target_coordinate,target_coord_estimation_error,concentration,sound_active,sound_detected,sound_doa_deg,sound_level_db,n_doa_samples,doa_sigma_eff,gt_distance_from_source,Bayesian_entropy,visual_entropy,sound_entropy,fused_entropy,semantic_entropy,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target
0,0,2.75,1.25,270.0,2.9294464588165283,2.0,Initialization,False,bed,"-1.45, -0.01, 0.63",1.1262613067620726,,True,True,62.56069793877707,65.96109140961596,20.0,12.5,4.397166558574024,8.546894459887639,8.529190379721364,7.8714138368226365,8.262168962465795,1.3789949481948214,0.9666866721289095,,,,
1,0,2.5,1.25,261.07952880859375,0.7071564197540283,0.0,search,False,bed,"0.62, -0.01, -0.99",1.9760872426828322,,False,False,,,,,4.168615078897161,8.546894459887639,8.517377078724621,7.8714138368226365,8.25551995193186,1.3750281119088053,0.965908727512284,,,,
2,0,2.25,1.25,216.04257202148438,0.7374978065490723,0.0,search,False,bed,"-0.72, 0.04, 0.20",0.8913457544298866,,False,False,,,,,3.942667828790023,8.546894459887639,8.501673774549667,7.8714138368226365,8.241903465210582,1.3619083241851042,0.9643155773002178,,,,
3,0,2.0,1.25,248.89195251464844,2.751070022583008,2.0,search,False,bed,"-0.72, 0.04, 0.20",0.8913457544298866,,True,True,5.871610624963444,50.139451027274205,20.0,12.5,3.7197993951748103,8.546894459887639,8.488389546574277,6.603314541038874,7.38355488050593,1.3498091281605702,0.8638874523557645,,,,
4,0,1.75,1.25,246.96958923339844,0.974966287612915,0.0,search,False,bed,"-0.72, 0.04, 0.20",0.8913457544298866,,False,False,,,,,3.500597873579589,8.546894459887639,8.47612317811009,6.603314541038874,7.37185369337695,1.3387241193405743,0.8625183951872343,,,,
5,0,1.5,1.25,244.6871337890625,0.7839715480804443,0.0,search,False,bed,"-0.72, 0.04, 0.20",0.8913457544298866,,False,False,,,,,3.2857972251307586,8.546894459887639,8.4641293288096,6.603314541038874,7.366863616465443,1.3253829184965575,0.8619345483952882,,,,
6,0,1.25,1.25,241.94261169433594,2.8048832416534424,2.0,search,False,bed,"-0.72, 0.04, 0.20",0.8913457544298866,,True,True,327.73607015892986,58.767505008651646,20.0,12.5,3.076319446488619,8.546894459887639,8.454009973310383,6.636543023243675,7.355008638831425,1.314039366645439,0.8605474974974848,,,,
7,0,1.0,1.25,238.59738159179688,0.8321216106414795,0.0,search,False,bed,"-0.72, 0.04, 0.20",0.8913457544298866,,False,False,,,,,2.8733289524541217,8.546894459887639,8.444423714578773,6.636543023243675,7.3625968573507095,1.3052020275565726,0.8614353309152131,,,,
8,0,0.75,1.25,234.4623260498047,0.8510668277740479,0.0,search,False,bed,"-1.49, -0.14, 0.26",0.7711689337302958,,False,False,,,,,2.6783011782057207,8.546894459887639,8.435110415929689,6.636543023243675,7.377107339780426,1.2945278275040393,0.8631330800213728,,,,
9,0,0.5,1.25,243.55020141601562,3.112684726715088,2.0,search,False,laptop,"-0.61, 0.62, 0.21",0.9725703078317864,,True,True,338.4610401709683,84.89534154332262,20.0,12.5,2.4931055198978656,8.546894459887639,8.42992606288034,5.217084148377382,6.593274507809358,1.287119828075427,0.7714234145224295,,,,
10,0,0.5,1.0,234.56008911132812,0.8870284557342529,0.0,search,False,laptop,"-0.62, 0.58, 0.19",0.9513085940871273,,False,False,,,,,2.3260748345897677,8.546894459887639,8.423134025665197,5.217084148377382,6.620551199891143,1.2778225889658437,0.7746148300956297,,,,
11,0,0.5,0.75,243.43496704101562,0.8950645923614502,0.0,search,False,laptop,"-0.62, 0.58, 0.19",0.9513085940871273,,False,False,,,,,2.17501106638068,8.546894459887639,8.417206000003358,5.217084148377382,6.642847685165686,1.270840558392207,0.7772235536944977,,,,
12,0,0.5,0.5,254.52865600585938,2.9270522594451904,2.0,search,False,laptop,"-1.30, -0.05, -0.52",0.036375603576871106,,True,True,8.920964465587318,82.34300823436739,20.0,12.5,2.043458377761836,8.546894459887639,8.409561885601258,4.612772745121014,6.02063981109875,1.2607909895125522,0.7044242606896424,,,,
13,0,0.5,0.25,246.83984375,0.9573311805725098,0.0,search,False,laptop,"-1.30, -0.05, -0.52",0.036375603576871106,,False,False,,,,,1.9353994792837064,8.546894459887639,8.403847764597982,4.612772745121014,6.017372622514143,1.254236223109156,0.7040419945226807,,,,
14,0,0.5,0.0,253.88656616210938,1.2554757595062256,0.0,search,False,laptop,"-1.30, -0.05, -0.52",0.036375603576871106,,False,False,,,,,1.8549447827841807,8.546894459887639,8.3975424247583,4.612772745121014,6.012064073777736,1.2454176248189535,0.703420886029845,,,,
15,0,-0.75,-0.5,267.9174499511719,3.0210280418395996,2.0,goal_navigation,False,laptop,"-1.30, -0.05, -0.52",0.036375603576871106,,True,True,353.45670647363875,89.3100774168957,20.0,12.5,0.5406549856856365,8.546894459887639,8.391373869847815,4.540805708286268,5.071983089032759,1.237132656450656,0.5934299426343259,,,,0.55
