step,robot_id,robot_x,robot_z,robot_yaw,step_time,listen_s,behavior_flag,is_random,target_object,target_coordinate,target_coord_estimation_error,concentration,sound_active,sound_detected,sound_doa_deg,sound_level_db,n_doa_samples,doa_sigma_eff,gt_distance_from_source,Bayesian_entropy,visual_entropy,sound_entropy,fused_entropy,semantic_entropy,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target
0,0,0.5,2.0,270.0,1.130711317062378,0.0,Initialization,False,oven,"-0.40, 0.35, -2.68",3.1550247567564154,5.137704461889666,False,False,,,,,2.982560352853445,8.722073279198005,8.904496319601517,8.915879378835774,8.682702559702143,1.3862212810417907,0.9738470195450223,,,,
1,0,0.25,2.0,187.90716552734375,0.8382179737091064,0.0,search,False,refrigerator,"-1.80, 1.38, 1.03",0.896398426522166,5.329989345892086,False,False,,,,,2.79191637053058,8.579037063982323,8.893557197162387,8.915879378835774,8.525225812474465,1.3836626513608785,0.9561845164383191,,,,
2,0,0.0,2.0,241.68026733398438,0.881450891494751,0.0,search,False,refrigerator,"-1.98, 1.37, 1.11",0.9879596223432511,5.75839841192937,False,False,,,,,2.611307676559779,8.443624908385909,8.885546292582937,8.915879378835774,8.386034851498817,1.3823677344779857,0.9405729367991805,,,,
3,0,-0.25,2.0,242.77642822265625,1.1592211723327637,0.0,search,False,refrigerator,"-1.98, 1.37, 1.11",0.9879596223432511,6.407899112059964,False,False,,,,,2.4429610195996605,8.308102560491957,8.876874786738558,8.915879378835774,8.248728957997692,1.3769999179730106,0.925172785264262,,,,
4,0,-0.5,2.0,238.97933959960938,1.0063090324401855,0.0,search,False,refrigerator,"-1.97, 1.33, 1.11",0.9864577968244176,6.688121982624875,False,False,,,,,2.2895827796580748,8.173551336386325,8.86855910634518,8.915879378835774,8.116393844981367,1.3711746578582378,0.9103301536635635,,,,
5,0,-0.75,2.0,233.88894653320312,1.0629796981811523,0.0,search,False,refrigerator,"-1.97, 1.33, 1.11",0.9864577968244176,7.285224564951661,False,False,,,,,2.154372313814439,8.027437497749332,8.860030167009029,8.915879378835774,7.977834095066763,1.3626584810667872,0.8947893703008464,,,,
6,0,-1.0,2.0,227.4628143310547,1.1962001323699951,0.0,search,False,toaster,"-1.83, 0.98, 0.09",0.04412116461392726,7.64471797831405,False,False,,,,,2.0409436121935265,7.856861090830753,8.851812059209717,8.915879378835774,7.810147123350653,1.3560519034251157,0.8759816941770352,,,,
7,0,-1.25,2.0,196.89169311523438,1.228346586227417,0.0,search,False,toaster,"-1.83, 0.98, 0.09",0.04412116461392726,8.04515168271748,False,False,,,,,1.9530953867583998,7.6513891717956195,8.842877191758058,8.915879378835774,7.629104843518967,1.348166271318583,0.8556760942312307,,,,
8,0,-1.25,1.75,199.25929260253906,1.2467827796936035,0.0,search,False,toaster,"-1.83, 0.98, 0.09",0.04412116461392726,9.115957616609196,False,False,,,,,1.715832688511118,7.420014395707673,8.83470087852444,8.915879378835774,7.444227621505032,1.3392923739771565,0.8349403693342801,,,,
9,0,-1.25,1.5,202.3596954345703,1.2626149654388428,0.0,search,False,toaster,"-1.83, 0.98, 0.09",0.04412116461392726,10.500915803239288,False,False,,,,,1.4827616262061947,7.16090436698779,8.825413163634943,8.915879378835774,7.243769182817266,1.3293086728932708,0.8124570639674972,,,,
10,0,-1.25,1.25,206.56504821777344,1.292724847793579,0.0,search,False,toaster,"-1.83, 0.98, 0.09",0.04412116461392726,12.423408292047222,False,False,,,,,1.2562174434929596,6.875421883459156,8.815901360819709,8.915879378835774,6.991599787470669,1.3199457405396093,0.7841738868817699,,,,
11,0,-1.25,1.0,212.5119171142578,1.6851799488067627,0.0,search,False,toaster,"-1.89, 0.98, 0.17",0.07278727839993555,15.163741324711118,False,False,,,,,1.0404722439942045,6.572341631700989,8.806486096505859,8.915879378835774,6.676599354045228,1.3106960008296178,0.7488436160199659,,,,
12,0,-1.25,0.75,227.8155517578125,1.387977123260498,0.0,search,False,toaster,"-1.82, 0.98, 0.12",0.015537685786249101,18.668206647142714,False,False,,,,,0.8438499367237536,6.29605542908996,8.801038447153719,8.915879378835774,6.331293881078492,1.3038044534236128,0.7101143490240023,,,,
13,0,-1.25,0.0,281.888671875,1.44484543800354,0.0,goal_navigation,False,toaster,"-1.82, 0.98, 0.12",0.015537685786249101,23.077610221795986,False,False,,,,,0.5921008286328664,6.030432025887557,8.79599069763791,8.915879378835774,5.923785080472303,1.2984532734267111,0.6644083919006344,,,,0.582
