step,robot_id,robot_x,robot_z,robot_yaw,step_time,listen_s,behavior_flag,is_random,target_object,target_coordinate,target_coord_estimation_error,concentration,sound_active,sound_detected,sound_doa_deg,sound_level_db,n_doa_samples,doa_sigma_eff,gt_distance_from_source,Bayesian_entropy,visual_entropy,sound_entropy,fused_entropy,semantic_entropy,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target
0,0,2.0,2.0,270.0,1.0587141513824463,0.0,Initialization,False,oven,"-0.30, 0.55, -2.80",3.3074596020489757,3.6265773058259643,False,False,,,,,4.257450139305565,8.755588717346656,8.9070371160261,8.915879378835774,8.821974839999617,1.3906112583708357,0.9894677199134093,,,,
1,0,1.75,2.0,203.12652587890625,0.7948927879333496,0.0,search,False,oven,"-0.30, 0.55, -2.80",3.3074596020489757,4.032202953703114,False,False,,,,,4.03423009387124,8.638925335201805,8.899836534710442,8.915879378835774,8.73471436894397,1.3913010592211117,0.9796806347199081,,,,
2,0,1.5,2.0,200.55604553222656,0.812685489654541,0.0,search,False,refrigerator,"-1.70, 0.98, 1.11",0.9841939658230133,4.027351940670336,False,False,,,,,3.814333914580596,8.520264639074371,8.89149655122117,8.915879378835774,8.647240581589585,1.385295263112435,0.9698696240907123,,,,
3,0,1.25,2.0,253.21170043945312,1.0362308025360107,0.0,search,False,refrigerator,"-1.70, 0.98, 1.11",0.9841939658230133,4.175723285307368,False,False,,,,,3.598371016660611,8.419820852115638,8.888014907823933,8.915879378835774,8.57556399774215,1.3910337482743091,0.9618304188926721,,,,
4,0,1.0,2.0,251.75625610351562,0.8890800476074219,0.0,search,False,refrigerator,"-1.70, 0.98, 1.11",0.9841939658230133,4.561134851663423,False,False,,,,,3.387093848001041,8.331442568564725,8.881588117287766,8.915879378835774,8.50947369914885,1.3877070619697869,0.9544177682964582,,,,
5,0,0.75,2.0,250.0356903076172,0.9035041332244873,0.0,search,False,refrigerator,"-1.70, 0.98, 1.11",0.9841939658230133,4.726686931231487,False,False,,,,,3.181436074603713,8.241271009899197,8.873659978160607,8.915879378835774,8.442472727756888,1.3814430071734023,0.9469029771530284,,,,
6,0,0.5,2.0,247.97442626953125,0.9182126522064209,0.0,search,False,refrigerator,"-1.70, 0.98, 1.11",0.9841939658230133,5.143497351930089,False,False,,,,,2.982560352853445,8.141977955313548,8.865346305020843,8.915879378835774,8.375205872419516,1.3722779178355051,0.9393583646163168,,,,
7,0,0.25,2.0,245.46754455566406,0.9372200965881348,0.0,search,False,refrigerator,"-2.03, 0.95, 0.93",0.8215415569765575,5.377130102511762,False,False,,,,,2.79191637053058,8.019291841777905,8.856577910708008,8.915879378835774,8.304092929730375,1.361889744137111,0.9313823770925348,,,,
8,0,0.0,2.0,242.20657348632812,1.1452479362487793,0.0,search,False,refrigerator,"-2.03, 0.95, 0.93",0.8215415569765575,6.052881071397573,False,False,,,,,2.611307676559779,7.849819821920472,8.848753930550572,8.915879378835774,8.235553455468345,1.352446400356937,0.9236950283353581,,,,
9,0,-0.25,2.0,238.98895263671875,0.925342321395874,0.0,search,False,refrigerator,"-2.03, 0.95, 0.93",0.8215415569765575,6.206493014575323,False,False,,,,,2.4429610195996605,7.61948381661005,8.841077051891245,8.915879378835774,8.155597827110423,1.3430268464563127,0.9147272501767932,,,,
10,0,-0.5,2.0,235.03311157226562,0.9458692073822021,0.0,search,False,refrigerator,"-2.03, 0.95, 0.93",0.8215415569765575,6.695856415989246,False,False,,,,,2.2895827796580748,7.325025110087636,8.833084616066202,8.915879378835774,8.053853969848618,1.3340072399564615,0.9033157165592208,,,,
11,0,-0.75,2.0,230.1064453125,0.975487232208252,0.0,search,False,apple,"-0.53, 1.15, -0.00",1.3036436621225853,7.142891242171453,False,False,,,,,2.154372313814439,6.99876234426007,8.82402488038315,8.915879378835774,7.921861788487192,1.3243061308324442,0.8885115479794232,,,,
12,0,-1.0,2.0,166.77545166015625,1.2805728912353516,0.0,search,False,apple,"-0.53, 1.15, -0.00",1.3036436621225853,7.740208021705546,False,False,,,,,2.0409436121935265,6.685488145279201,8.817455484393975,8.915879378835774,7.757675556489752,1.3165365975492054,0.8700965128470302,,,,
13,0,-1.0,1.75,164.96673583984375,1.052065372467041,0.0,search,False,apple,"-0.53, 1.15, -0.00",1.3036436621225853,8.616096481205915,False,False,,,,,1.815200003674501,6.442634798778519,8.808008559668544,8.915879378835774,7.593353769340953,1.3055433597009882,0.8516662739253529,,,,
14,0,-1.0,1.5,162.6024932861328,1.0489230155944824,0.0,search,False,apple,"-0.53, 1.15, -0.00",1.3036436621225853,9.810179471511633,False,False,,,,,1.5967001216653853,6.23951198072148,8.797997166805052,8.915879378835774,7.4285259057644435,1.293026651490636,0.8331792737571168,,,,
15,0,-1.0,1.25,159.39373779296875,1.0739820003509521,0.0,search,False,apple,"-0.53, 1.15, -0.00",1.3036436621225853,11.380587135602386,False,False,,,,,1.3888669856082707,6.064139411281344,8.787407602197984,8.915879378835774,7.266751753723983,1.2809469639701903,0.8150347761515889,,,,
16,0,-1.0,1.0,154.82647705078125,1.100511074066162,0.0,search,False,apple,"-0.53, 1.15, -0.00",1.3036436621225853,13.13434564765405,False,False,,,,,1.197268444793795,5.905215917029347,8.777663115134759,8.915879378835774,7.108911310223164,1.2709399491961018,0.79733148107612,,,,
17,0,-1.0,0.75,147.92599487304688,1.1250851154327393,0.0,search,False,apple,"-0.53, 1.15, -0.00",1.3036436621225853,15.27344644872301,False,False,,,,,1.0309956130291247,5.751426534826574,8.768555844938659,8.915879378835774,6.956630546412271,1.261101617294736,0.7802517565374084,,,,
18,0,-1.0,0.5,136.77146911621094,1.1108489036560059,0.0,search,False,apple,"-0.53, 1.15, -0.00",1.3036436621225853,17.464420180162897,False,False,,,,,0.9041306206913072,5.596357681994309,8.759373123285014,8.915879378835774,6.8134327902459,1.251650941833046,0.7641907770106678,,,,
19,0,-1.0,0.25,118.00917053222656,1.18416428565979,0.0,search,False,apple,"-0.53, 1.15, -0.00",1.3036436621225853,18.89701936960139,False,False,,,,,0.8348367531787256,5.4841424024835135,8.750476851121752,8.915879378835774,6.694603030889969,1.2422592682673608,0.7508628982556002,,,,
20,0,-1.0,0.0,90.0,1.1089835166931152,0.0,search,False,apple,"-0.53, 1.15, -0.00",1.3036436621225853,18.813871412814528,False,False,,,,,0.8375276888821912,5.405323563697621,8.741143529961711,8.915879378835774,6.60498165500478,1.2332848433857706,0.7408110153086493,,,,
21,0,-1.0,0.0,90.0,1.1304583549499512,0.0,search,False,apple,"-0.53, 1.15, -0.00",1.3036436621225853,18.854530533806475,False,False,,,,,0.8375276888821912,5.336429463796833,8.732570529607628,8.915879378835774,6.528417026741344,1.225323965033798,0.7322235698071791,,,,
22,0,-1.0,0.0,90.0,1.1193695068359375,0.0,search,False,apple,"-0.53, 1.15, -0.00",1.3036436621225853,18.87141795557586,False,False,,,,,0.8375276888821912,5.274784813902548,8.7247049741516,8.915879378835774,6.462033047303345,1.2182274928042098,0.7247779801331443,,,,
23,0,-1.0,0.0,90.0,1.1103894710540771,0.0,search,False,apple,"-0.53, 1.15, -0.00",1.3036436621225853,18.95839101281372,False,False,,,,,0.8375276888821912,5.219255603577735,8.71748138883611,8.915879378835774,6.404133163643287,1.2118669447162222,0.7182839618540838,,,,
24,0,-1.0,0.0,90.0,1.1095256805419922,0.0,search,False,apple,"-0.42, 1.12, 0.51",1.4561211499384066,18.810823089017536,False,False,,,,,0.8375276888821912,5.161300698263573,8.710668720491764,8.915879378835774,6.346136869587585,1.205976170234469,0.711779130239451,,,,
25,0,-1.0,0.25,65.85446166992188,1.1312105655670166,0.0,search,False,apple,"-0.53, 1.15, -0.00",1.3036436621225853,19.047046732021332,False,False,,,,,0.8348367531787256,5.0870072604583045,8.704740855284776,8.915879378835774,6.284724938120379,1.201029626643247,0.7048912026601499,,,,
26,0,-1.0,0.0,90.0,1.1422059535980225,0.0,goal_navigation,False,apple,"-0.53, 1.15, -0.00",1.3036436621225853,18.713379401593215,False,False,,,,,0.8375276888821912,5.030859800777463,8.699407321401422,8.915879378835774,6.235887532494939,1.1968712475973189,0.699413626803598,,,,0.47
